Buenos días. | Cuira. | Tarahumara del Centro | López B., Ramón, Pérez Flores, Francisco , Ralámuli Raꞌicháruami , [Frases: Tarahumara―Español] , [1ª] , 1987
Buenas tardes. | Cuira. | Tarahumara del Centro | López B., Ramón, Pérez Flores, Francisco , Ralámuli Raꞌicháruami , [Frases: Tarahumara―Español] , [1ª] , 1987
Buenas noches. | Cuira. | Tarahumara del Centro | López B., Ramón, Pérez Flores, Francisco , Ralámuli Raꞌicháruami , [Frases: Tarahumara―Español] , [1ª] , 1987
Con mucho gusto. | Ganíriba. | Tarahumara del Centro | López B., Ramón, Pérez Flores, Francisco , Ralámuli Raꞌicháruami , [Frases: Tarahumara―Español] , [1ª] , 1987
¿Cómo amaneció usted? | ¿Chumi yiri chi'rébari? | Tarahumara del Centro | López B., Ramón, Pérez Flores, Francisco , Ralámuli Raꞌicháruami , [Frases: Tarahumara―Español] , [1ª] , 1987
Amanecí muy bien. | Ca'lani chi'reba. | Tarahumara del Centro | López B., Ramón, Pérez Flores, Francisco , Ralámuli Raꞌicháruami , [Frases: Tarahumara―Español] , [1ª] , 1987
¿Y usted, cómo amaneció? | ¿Mujé chuyiri chi'lébari? | Tarahumara del Centro | López B., Ramón, Pérez Flores, Francisco , Ralámuli Raꞌicháruami , [Frases: Tarahumara―Español] , [1ª] , 1987
Amanecí enfermo. | Nayúmini chi'lébali. | Tarahumara del Centro | López B., Ramón, Pérez Flores, Francisco , Ralámuli Raꞌicháruami , [Frases: Tarahumara―Español] , [1ª] , 1987
¿Adónde va usted? | ¿Mujé comi simí? | Tarahumara del Centro | López B., Ramón, Pérez Flores, Francisco , Ralámuli Raꞌicháruami , [Frases: Tarahumara―Español] , [1ª] , 1987
¿Dónde andaba usted? | ¿Mujé comi iyénari? | Tarahumara del Centro | López B., Ramón, Pérez Flores, Francisco , Ralámuli Raꞌicháruami , [Frases: Tarahumara―Español] , [1ª] , 1987
¿De dónde viene usted? | ¿Comi jonsa simí? | Tarahumara del Centro | López B., Ramón, Pérez Flores, Francisco , Ralámuli Raꞌicháruami , [Frases: Tarahumara―Español] , [1ª] , 1987
¿Dónde vive usted? | ¿Comi bité mujé? | Tarahumara del Centro | López B., Ramón, Pérez Flores, Francisco , Ralámuli Raꞌicháruami , [Frases: Tarahumara―Español] , [1ª] , 1987
¿Qué está haciendo? | ¿Pírimi olá atí? | Tarahumara del Centro | López B., Ramón, Pérez Flores, Francisco , Ralámuli Raꞌicháruami , [Frases: Tarahumara―Español] , [1ª] , 1987
No estoy haciendo nada. | Tabiyérini olá atí. | Tarahumara del Centro | López B., Ramón, Pérez Flores, Francisco , Ralámuli Raꞌicháruami , [Frases: Tarahumara―Español] , [1ª] , 1987
Está haciendo mucho calor. | Hue ratáami rayena. | Tarahumara del Centro | López B., Ramón, Pérez Flores, Francisco , Ralámuli Raꞌicháruami , [Frases: Tarahumara―Español] , [1ª] , 1987
Está haciendo mucho frío. | Hue ruluá. | Tarahumara del Centro | López B., Ramón, Pérez Flores, Francisco , Ralámuli Raꞌicháruami , [Frases: Tarahumara―Español] , [1ª] , 1987
Siéntese y descanse. | Asagá isábaga. | Tarahumara del Centro | López B., Ramón, Pérez Flores, Francisco , Ralámuli Raꞌicháruami , [Frases: Tarahumara―Español] , [1ª] , 1987
Siéntense y descansen. | Muchiga isábaga. | Tarahumara del Centro | López B., Ramón, Pérez Flores, Francisco , Ralámuli Raꞌicháruami , [Frases: Tarahumara―Español] , [1ª] , 1987
Siéntese a calentarse junto a la lumbre. | Asagá socuálaga. | Tarahumara del Centro | López B., Ramón, Pérez Flores, Francisco , Ralámuli Raꞌicháruami , [Frases: Tarahumara―Español] , [1ª] , 1987
Amaneció haciendo mucho frío. | Hue rulágami chi'lá. | Tarahumara del Centro | López B., Ramón, Pérez Flores, Francisco , Ralámuli Raꞌicháruami , [Frases: Tarahumara―Español] , [1ª] , 1987
Siéntense en la sombra. | Pachá muchiga cábasi. | Tarahumara del Centro | López B., Ramón, Pérez Flores, Francisco , Ralámuli Raꞌicháruami , [Frases: Tarahumara―Español] , [1ª] , 1987
¿Cómo está la señora? | ¿Churigá atí muquí? | Tarahumara del Centro | López B., Ramón, Pérez Flores, Francisco , Ralámuli Raꞌicháruami , [Frases: Tarahumara―Español] , [1ª] , 1987
¿Cómo está el señor? | ¿Chuyiri ju rijoy? | Tarahumara del Centro | López B., Ramón, Pérez Flores, Francisco , Ralámuli Raꞌicháruami , [Frases: Tarahumara―Español] , [1ª] , 1987
¿Cómo está el niño? | ¿Chuyiri ju taa? | Tarahumara del Centro | López B., Ramón, Pérez Flores, Francisco , Ralámuli Raꞌicháruami , [Frases: Tarahumara―Español] , [1ª] , 1987
El Espíritu | Iwiká | Tarahumara del Centro | Eká kusúala, Canciones del viento, Martín Makáwi
Cuando voy hacia el pueblo | Mapu ne bowichí inálo | Tarahumara del Centro | Eká kusúala, Canciones del viento, Martín Makáwi
el polvo es tan sólo polvo | napisó pé napisó bí jú | Tarahumara del Centro | Eká kusúala, Canciones del viento, Martín Makáwi
el agua es tan sólo agua | ba'wí pé ba'wí bí jú | Tarahumara del Centro | Eká kusúala, Canciones del viento, Martín Makáwi
y el viento es tan sólo viento. | a'lí kó eeká pé eeká bí jú. | Tarahumara del Centro | Eká kusúala, Canciones del viento, Martín Makáwi
Pero cuando danzo en piso de tierra | Noli bé mapua'lí we'érali ne awí | Tarahumara del Centro | Eká kusúala, Canciones del viento, Martín Makáwi
y levanto el polvo | a'lí kayaní napisó | Tarahumara del Centro | Eká kusúala, Canciones del viento, Martín Makáwi
entonces el polvo es la carne | 'Échi napisó ko | Tarahumara del Centro | Eká kusúala, Canciones del viento, Martín Makáwi
de mis antepasados; | kéti anayáwali sa'páala jú; | Tarahumara del Centro | Eká kusúala, Canciones del viento, Martín Makáwi
y el agua cristalina que corre | 'Échi ba'wí mápu 'mawá komíchi | Tarahumara del Centro | Eká kusúala, Canciones del viento, Martín Makáwi
es la sangre del mundo; | kéti Wichimóba lalá ju; | Tarahumara del Centro | Eká kusúala, Canciones del viento, Martín Makáwi
y el viento | A'lí eeká kó | Tarahumara del Centro | Eká kusúala, Canciones del viento, Martín Makáwi
es el espíritu de mi raza. | kéti retémali iwikáala jú. | Tarahumara del Centro | Eká kusúala, Canciones del viento, Martín Makáwi
Mira, Niño | Nibí Towí | Tarahumara del Centro | Eká kusúala, Canciones del viento, Martín Makáwi
Mira, mi niño: | Nibí, mojé towí: | Tarahumara del Centro | Eká kusúala, Canciones del viento, Martín Makáwi
no te averguences | ketási mo rewélisa aré | Tarahumara del Centro | Eká kusúala, Canciones del viento, Martín Makáwi
cuando te hablen en tarahumar | pe ralámuli ra'ichása | Tarahumara del Centro | Eká kusúala, Canciones del viento, Martín Makáwi
tus abuelos maternos. | kému apalócha a'lí kému u'sú. | Tarahumara del Centro | Eká kusúala, Canciones del viento, Martín Makáwi
Aquí en Guachochi | Je'ná Wachóchi kó | Tarahumara del Centro | Eká kusúala, Canciones del viento, Martín Makáwi
en tierras de los tarahumares | ralámuli kawíwala jú | Tarahumara del Centro | Eká kusúala, Canciones del viento, Martín Makáwi
por eso debemos hablar | 'échi gite tamojé | Tarahumara del Centro | Eká kusúala, Canciones del viento, Martín Makáwi
